City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikhil,11.5,42.1667,22.7,57,13,2.2,DJ,1730693632
1,bethel,41.3712,-73.414,3.67,68,40,1.43,US,1730693253
2,nar'yan-mar,67.6713,53.087,-2.11,88,100,7.31,RU,1730693634
3,new norfolk,-42.7826,147.0587,19.28,40,35,4.78,AU,1730693278
4,udachny,66.4167,112.4,-20.27,96,80,2.99,RU,1730693424
5,yellowknife,62.456,-114.3525,-1.99,99,100,1.54,CA,1730693240
6,port elizabeth,-33.918,25.5701,14.62,96,100,4.02,ZA,1730693281
7,enewetak,11.3474,162.3373,28.47,71,65,1.21,MH,1730693255
8,ingeniero guillermo n. juarez,-23.9,-61.85,23.67,76,0,1.72,AR,1730693641
9,waitangi,-43.9535,-176.5597,10.46,69,70,2.24,NZ,1730693176
10,iqaluit,63.7506,-68.5145,-6.27,93,100,7.17,CA,1730693250
11,avarua,-21.2078,-159.775,25.03,88,100,6.17,CK,1730693292
12,fort mcmurray,56.7268,-111.381,-3.27,93,100,4.12,CA,1730693646
13,al mayadin,35.0209,40.4535,16.24,77,12,2.47,SY,1730693647
14,blackmans bay,-43.0167,147.3167,18.62,44,46,2.24,AU,1730693174
15,kapuskasing,49.4169,-82.4331,3.29,92,100,3.63,CA,1730693221
16,albany,42.6001,-73.9662,0.23,78,24,0.6,US,1730693247
17,poplar bluff,36.757,-90.3929,17.94,100,100,3.09,US,1730693653
18,port-aux-francais,-49.35,70.2167,4.85,88,100,13.18,TF,1730693173
19,tura,25.5198,90.2201,27.31,59,0,0.71,IN,1730693642
20,yamada,39.4667,141.95,17.89,47,0,4.58,JP,1730693655
21,puerto maldonado,-12.6,-69.1833,23.09,86,100,1.5,PE,1730693658
22,puerto natales,-51.7236,-72.4875,1.87,92,27,3.2,CL,1730693243
23,constantia,44.1833,28.65,0.38,54,6,5.59,RO,1730693626
24,lisala,2.15,21.5167,20.07,99,98,0.51,CD,1730693661
25,merizo village,13.2658,144.6691,31.31,85,33,4.55,GU,1730693663
26,lihue,21.9789,-159.3672,25.77,78,0,6.17,US,1730693301
27,stanley,54.868,-1.6985,8.01,86,100,0.0,GB,1730693287
28,omdurman,15.6445,32.4777,24.04,19,9,6.51,SD,1730693667
29,puerto ayora,-0.7393,-90.3518,20.12,75,5,6.41,EC,1730693208
30,bilibino,68.0546,166.4372,-19.92,96,29,3.77,RU,1730693237
31,san antonio de pale,-1.4014,5.6325,25.31,82,100,4.45,GQ,1730693671
32,ushuaia,-54.8,-68.3,5.81,93,100,5.66,AR,1730693091
33,hakui,36.8833,136.7833,26.25,68,0,7.14,JP,1730693673
34,tionk essil,12.7856,-16.5217,25.04,81,59,2.21,SN,1730693674
35,igarka,67.4667,86.5833,-0.12,95,100,5.89,RU,1730693319
36,adamstown,-25.066,-130.1015,20.99,77,100,5.0,PN,1730693167
37,bredasdorp,-34.5322,20.0403,11.65,60,83,5.44,ZA,1730693235
38,tocache,-8.1842,-76.5125,21.97,81,99,0.59,PE,1730693679
39,paka,4.6374,103.4368,30.55,70,98,1.45,MY,1730693680
40,hastings,50.8552,0.5729,11.21,45,7,4.63,GB,1730693479
41,fale old settlement,-9.3852,-171.2468,28.64,75,95,5.62,TK,1730693683
42,khandyga,62.6667,135.6,-16.4,83,100,0.73,RU,1730693191
43,tiksi,71.6872,128.8694,-25.34,100,97,2.46,RU,1730693183
44,jamestown,42.097,-79.2353,9.45,37,0,5.14,US,1730693328
45,cidade velha,14.9167,-23.6167,25.26,78,40,7.2,CV,1730693217
46,morondava,-20.2833,44.2833,26.35,70,0,1.31,MG,1730693689
47,nyaungdon,17.0333,95.65,29.21,74,87,2.58,MM,1730693691
48,kodiak,57.79,-152.4072,2.73,56,20,5.66,US,1730693299
49,wailua homesteads,22.0669,-159.378,25.44,83,0,6.17,US,1730693696
50,papatowai,-46.5619,169.4708,15.4,59,100,2.91,NZ,1730693193
51,sakakah,29.9697,40.2064,13.76,47,0,1.91,SA,1730693699
52,thompson,55.7435,-97.8558,1.09,100,100,1.03,CA,1730693700
53,mwatate,-3.5029,38.3795,20.25,83,41,1.69,KE,1730693701
54,invercargill,-46.4,168.35,16.68,64,99,4.47,NZ,1730693282
55,temnikov,54.6302,43.2148,-1.87,86,100,3.36,RU,1730693703
56,sibolga,1.7427,98.7792,28.44,67,100,1.08,ID,1730693705
57,walvis bay,-22.9575,14.5053,13.34,84,1,5.43,NA,1730693706
58,talnakh,69.4865,88.3972,-4.18,93,100,9.56,RU,1730693707
59,kwali,8.8672,7.005,22.11,55,1,1.46,NG,1730693708
60,tual,-5.6667,132.75,28.16,71,100,7.16,ID,1730693709
61,keflavik,64.0049,-22.5624,10.24,100,100,9.26,IS,1730693710
62,balqash,46.8481,74.995,7.33,87,100,5.0,KZ,1730693712
63,turpan,42.9333,89.1667,15.49,32,17,0.93,CN,1730693572
64,likasi,-10.9814,26.7333,16.98,93,97,0.26,CD,1730693714
65,arawa,-6.2132,155.5367,30.23,69,73,1.05,PG,1730693715
66,west island,-12.1568,96.8225,28.99,74,20,5.66,CC,1730693214
67,opuwo,-18.0607,13.84,19.58,34,89,0.22,NA,1730693718
68,iskateley,67.6803,53.1512,-1.93,89,100,7.36,RU,1730693436
69,ribeira grande,38.5167,-28.7,18.21,90,34,5.36,PT,1730693178
70,edinburgh of the seven seas,-37.0676,-12.3116,12.83,71,100,6.48,SH,1730693171
71,biloela,-24.4167,150.5,33.92,26,100,1.32,AU,1730693722
72,kayangel,8.0823,134.7173,28.83,76,100,6.27,PW,1730693723
73,yulinshi,38.2906,109.7494,6.63,35,47,3.0,CN,1730693725
74,levuka,50.1834,-105.4011,3.54,65,51,4.43,CA,1730693726
75,egilsstadir,65.2653,-14.3948,6.99,99,95,5.14,IS,1730693317
76,whitby,54.4877,-0.615,10.21,84,8,2.14,GB,1730693594
77,san luis de la loma,17.2706,-100.8939,26.06,86,27,1.32,MX,1730693730
78,hirara,24.8,125.2833,26.26,65,85,7.21,JP,1730693732
79,north vernon,39.0062,-85.6236,19.83,78,100,6.12,US,1730693733
80,caleta de carquin,-11.0925,-77.6267,18.39,88,45,4.95,PE,1730693734
81,minas de marcona,-15.2119,-75.1103,13.73,87,87,4.59,PE,1730693735
82,hawaiian paradise park,19.5933,-154.9731,24.37,90,75,0.0,US,1730693224
83,motygino,58.1831,94.7592,-1.64,77,100,1.25,RU,1730693737
84,ballina,-28.8667,153.5667,27.03,64,83,8.94,AU,1730693552
85,ust-nera,64.5667,143.2,-21.82,100,99,1.79,RU,1730693218
86,port alfred,-33.5906,26.891,16.21,88,100,1.79,ZA,1730693200
87,presidente epitacio,-21.7633,-52.1156,22.49,91,91,2.68,BR,1730693703
88,geraldton,-28.7667,114.6,22.23,56,100,5.66,AU,1730693745
89,thinadhoo,0.5333,72.9333,28.11,69,11,4.43,MV,1730693746
90,nuku'alofa,-21.1333,-175.2,22.88,80,94,10.84,TO,1730693747
91,skovorodino,53.9833,123.9167,-3.92,49,32,3.31,RU,1730693748
92,labytnangi,66.6572,66.4183,-6.68,91,100,2.54,RU,1730693680
93,hammerfest,70.6634,23.6821,2.25,60,100,1.03,NO,1730693654
94,touros,-5.1989,-35.4608,25.43,73,53,6.34,BR,1730693324
95,kapa'a,22.0752,-159.319,26.18,82,0,6.17,US,1730693260
96,otterberg,49.5,7.7667,5.22,98,75,0.0,DE,1730693754
97,kapoeta,4.7717,33.5903,25.06,61,99,0.37,SS,1730693755
98,brisas de zicatela,15.8369,-97.0419,26.89,84,37,2.54,MX,1730693756
99,grytviken,-54.2811,-36.5092,1.17,73,8,5.53,GS,1730693185
100,selma,36.5708,-119.6121,12.77,100,0,0.0,US,1730693759
101,vila do maio,15.1333,-23.2167,25.89,77,20,6.09,CV,1730693761
102,ngama,11.7833,17.1667,24.21,28,94,4.58,TD,1730693762
103,guilin,25.2819,110.2864,26.5,36,16,6.63,CN,1730693763
104,sona,45.4388,10.8255,8.51,100,0,2.06,IT,1730693765
105,namibe,-15.1961,12.1522,19.8,82,100,2.8,AO,1730693211
106,bardai,11.65,7.2333,17.7,32,27,3.99,NG,1730693767
107,nizhneudinsk,54.9076,99.0276,3.3,33,48,1.54,RU,1730693768
108,punta arenas,-53.15,-70.9167,6.06,61,0,8.75,CL,1730693769
109,mora,11.0461,14.1401,21.63,39,97,2.29,CM,1730693771
110,alexandria,31.2156,29.9553,20.65,71,6,4.98,EG,1730693772
111,lebu,-37.6167,-73.65,9.66,86,1,4.14,CL,1730693257
112,port mathurin,-19.6833,63.4167,24.06,72,51,6.67,MU,1730693290
113,leticia,-4.2153,-69.9406,22.03,100,20,1.03,CO,1730693743
114,olyokminsk,60.3736,120.4264,-12.02,82,90,0.92,RU,1730693777
115,tsengel,49.4783,100.8894,-2.95,55,0,1.77,MN,1730693662
116,aasiaat,68.7098,-52.8699,-5.98,85,100,1.43,GL,1730693780
117,mirnyy,62.5353,113.9611,-16.57,92,95,0.65,RU,1730693783
118,xining,36.6167,101.7667,6.86,53,7,2.14,CN,1730693784
119,howrah,22.5892,88.3103,28.0,83,0,1.54,IN,1730693785
120,san patricio,28.017,-97.5169,25.97,83,94,8.06,US,1730693283
121,arteche,12.2645,125.4048,28.02,79,85,2.27,PH,1730693788
122,shahpur,16.7,76.8333,27.32,58,5,3.85,IN,1730693789
123,tolanaro,-25.0319,46.9987,26.04,78,20,9.26,MG,1730693790
124,zhongxing,33.7039,118.6792,17.37,39,88,8.04,CN,1730693791
125,ban houakhoua,20.2453,100.4547,29.55,39,4,1.08,LA,1730693793
126,ust-tsilma,65.441,52.1498,-3.48,91,89,4.56,RU,1730693794
127,kavaratti,10.5669,72.642,27.97,74,83,3.5,IN,1730693795
128,three points,32.0767,-111.3137,11.46,45,48,5.35,US,1730693797
129,kerikeri,-35.2268,173.9474,18.84,61,81,1.79,NZ,1730693799
130,mossel bay,-34.1831,22.146,12.96,74,100,7.42,ZA,1730693800
131,afaahiti,-17.75,-149.2833,25.03,64,24,0.75,PF,1730693801
132,samokov,42.3333,23.55,-1.41,81,0,1.84,BG,1730693802
133,coquimbo,-29.9533,-71.3436,12.85,83,0,2.57,CL,1730693743
134,santo antonio do ica,-3.1022,-67.9397,22.47,99,100,1.99,BR,1730693806
135,timbuktu,16.7735,-3.0074,25.68,18,6,4.24,ML,1730693807
136,assab,13.0092,42.7394,27.41,65,5,7.09,ER,1730693808
137,las tablas,7.7667,-80.2833,23.43,99,100,1.92,PA,1730693457
138,blagodarnyy,45.0978,43.4364,0.4,73,1,2.95,RU,1730693811
139,isafjordur,66.0755,-23.124,4.78,98,100,3.79,IS,1730693812
140,portland,45.5234,-122.6762,10.67,92,58,0.45,US,1730693720
141,vadso,70.0744,29.7487,-0.91,86,0,5.66,NO,1730693814
142,villarrobledo,39.2699,-2.6012,12.51,91,98,6.86,ES,1730693815
143,as sulayyil,20.4607,45.5779,22.38,34,0,1.79,SA,1730693817
144,ust'-kulom,61.6864,53.6902,-2.64,84,100,5.66,RU,1730693418
145,nuuk,64.1835,-51.7216,-4.66,93,100,4.63,GL,1730693819
